business_id,name,city,state,latitude,longitude,stars,review_count,is_open,price_num,price_label,weekly_hours,cuisine,has_takeout,has_delivery,has_reservation,good_for_kids,outdoor_seating,has_parking,checkin_count,log_review_count,log_checkin_count,mean_sentiment
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,Philadelphia,PA,39.9555052,-75.1555641,4.0,80,1,1.0,$,94.0,Bubble Tea,1.0,0.0,,,0.0,1.0,335,4.394449154672439,5.817111159963204,0.3074448950980456
mWMc6_wTdE0EUBKIGXDVfA,Perkiomen Valley Brewery,Green Lane,PA,40.3381827,-75.4716585,4.5,13,1,,,40.0,Brewpubs,1.0,,,1.0,,1.0,14,2.6390573296152584,2.70805020110221,
CF33F8-E6oudUQ46HnavjQ,Sonic Drive-In,Ashland City,TN,36.269593,-87.058943,2.0,6,1,1.0,$,90.0,Burgers,1.0,1.0,0.0,1.0,1.0,,22,1.9459101490553132,3.1354942159291497,
k0hlBqXX-Bt0vf1op7Jr1w,Tsevi's Pub And Grill,Affton,MO,38.5651648,-90.3210868,3.0,19,0,1.0,$,,Pubs,1.0,0.0,0.0,1.0,1.0,1.0,40,2.995732273553991,3.713572066704308,0.14295244107744107
bBDDEgkFA1Otx9Lfe7BZUQ,Sonic Drive-In,Nashville,TN,36.2081024,-86.7681696,1.5,10,1,1.0,$,76.0,Ice Cream & Frozen Yogurt,1.0,1.0,0.0,1.0,1.0,,21,2.3978952727983707,3.091042453358316,-0.07500000000000001
eEOYSgkmpB90uNA7lDOMRA,Vietnamese Food Truck,Tampa Bay,FL,27.9552692,-82.4563199,4.0,10,1,,,23.0,Vietnamese,,,0.0,,,,4,2.3978952727983707,1.6094379124341003,
il_Ro8jwPlHresjw9EGmBg,Denny's,Indianapolis,IN,39.6371332838,-86.127217412,2.5,28,1,1.0,$,112.0,American (Traditional),1.0,1.0,0.0,1.0,0.0,1.0,54,3.367295829986474,4.007333185232471,0.14914246632996633
0bPLkL0QhhPO5kt1_EXmNQ,Zio's Italian Market,Largo,FL,27.9161159,-82.7604608,4.5,100,0,1.0,$,58.0,Delis,1.0,1.0,0.0,1.0,0.0,1.0,264,4.61512051684126,5.579729825986222,0.33595621569334805
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,Philadelphia,PA,39.953949,-75.1432262,4.0,245,1,2.0,$$,53.0,Sushi Bars,1.0,1.0,1.0,0.0,1.0,1.0,172,5.5053315359323625,5.153291594497779,0.31657929175458066
ROeacJQwBeh05Rqg7F6TCg,BAP,Philadelphia,PA,39.943223,-75.162568,4.5,205,1,1.0,$,54.0,Korean,1.0,,0.0,1.0,,1.0,221,5.327876168789581,5.402677381872279,0.26645623796701384
WKMJwqnfZKsAae75RMP6jA,Roast Coffeehouse and Wine Bar,Edmonton,AB,53.5460453,-113.4991693,4.0,40,0,2.0,$$,67.0,Coffee & Tea,1.0,0.0,0.0,0.0,0.0,1.0,226,3.713572066704308,5.424950017481403,0.21292658188659744
kfNv-JZpuN6TVNSO6hHdkw,Hibachi Express,Indianapolis,IN,39.9043203184,-86.0530799,4.0,20,1,2.0,$$,60.0,Steakhouses,1.0,1.0,,,,0.0,6,3.044522437723423,1.9459101490553132,
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,Reno,NV,39.4761165,-119.7893392,2.5,339,1,2.0,$$,72.0,Italian,1.0,1.0,1.0,1.0,1.0,1.0,508,5.8289456176102075,6.2324480165505225,0.09786509444294543
4iRzR7OaS-QaSXuvYxEGKA,Super Dog,Nashville,TN,36.2485696,-86.7199857,4.0,6,0,1.0,$,,Hot Dogs,1.0,0.0,0.0,1.0,0.0,1.0,39,1.9459101490553132,3.6888794541139363,0.17916666666666667
tMkwHmWFUEXrC9ZduonpTg,The Green Pheasant,Nashville,TN,36.1598858,-86.7731974,4.0,161,0,,,26.0,Japanese,,,1.0,0.0,0.0,1.0,96,5.087596335232384,4.574710978503383,
QdN72BWoyFypdGJhhI5r7g,Bar One,Philadelphia,PA,39.9398245705,-75.1574465632,4.0,65,0,2.0,$$,78.0,Cocktail Bars,1.0,1.0,0.0,0.0,0.0,1.0,81,4.189654742026425,4.406719247264253,0.3787226551226551
sqSqqLy0sN8n2IZrAbzidQ,Domino's Pizza,White House,TN,36.4647467622,-86.6591868908,3.5,8,1,1.0,$,100.0,Pizza,,,,,,0.0,1,2.1972245773362196,0.6931471805599453,0.20317460317460315
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,Philadelphia,PA,40.0224662,-75.218314,3.0,41,0,1.0,$,41.0,Pizza,1.0,1.0,0.0,1.0,1.0,,9,3.7376696182833684,2.302585092994046,0.30212567987567984
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,Ardmore,PA,40.0067071,-75.289671,3.5,109,1,1.0,$,93.0,Pizza,1.0,1.0,0.0,1.0,0.0,1.0,71,4.700480365792417,4.276666119016055,0.23422446248002748
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,Philadelphia,PA,39.9625821,-75.1356571,3.5,65,1,2.0,$$,36.0,Eatertainment,1.0,1.0,,1.0,1.0,1.0,75,4.189654742026425,4.330733340286331,
2xVsWBNFwZOxIOdd9Mwnww,Cheeseburger In Paradise,Exton,PA,40.029962,-75.630607,2.5,20,0,2.0,$$,,Burgers,1.0,0.0,,1.0,1.0,1.0,37,3.044522437723423,3.6375861597263857,0.13929685324422164
fSCNwMtNNQY9QT69Cj9fiA,Sierra Pro Events,Sparks,NV,39.5401545,-119.7483949,5.0,7,1,,,56.0,Musicians,,,,,,0.0,0,2.0794415416798357,0.0,0.11338842975206612
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,Alton,IL,38.896563,-90.1862032987,3.0,94,1,2.0,$$,34.0,Specialty Food,1.0,0.0,1.0,1.0,1.0,1.0,155,4.553876891600541,5.049856007249537,0.24973957123613347
wghnIlMb_i5U46HMBGx9ig,China Dragon Restaurant,Tucson,AZ,32.1323047,-110.9999851,3.0,23,0,2.0,$$,70.0,Chinese,1.0,0.0,1.0,1.0,0.0,,9,3.1780538303479458,2.302585092994046,0.27590433715348645
JX4tUpd09YFchLBuI43lGw,Naked Cyber Cafe & Espresso Bar,Edmonton,AB,53.5446819,-113.506589,4.0,12,1,2.0,$$,82.0,Music Venues,1.0,,,,0.0,1.0,14,2.5649493574615367,2.70805020110221,0.19711477073346823
lk9IwjZXqUMqqOhM774DtQ,Caviar & Bananas,Nashville,TN,36.1483712,-86.7988947,3.5,159,0,2.0,$$,70.0,Coffee & Tea,1.0,1.0,0.0,1.0,1.0,1.0,204,5.075173815233827,5.3230099791384085,0.3367193439276772
ABxoFuzZy5mqQ8C5FJJajQ,Core de Roma,Bala Cynwyd,PA,40.0283575,-75.2380841,5.0,12,1,,,33.0,Italian,,,,,,1.0,2,2.5649493574615367,1.0986122886681098,
5BmQX4UVJY19mMtafMg7JA,Breadland Organic Whole Grain Bakery,Edmonton,AB,53.547205,-113.522448,4.0,23,1,2.0,$$,53.0,Specialty Food,1.0,0.0,,,,1.0,40,3.1780538303479458,3.713572066704308,0.3306530453673311
cVBxfMC4lp3DnocjYA3FHQ,Paws The Cat Cafe,Edmonton,AB,53.5496333,-113.5087799,5.0,20,0,1.0,$,59.0,Coffee & Tea,1.0,0.0,1.0,1.0,0.0,1.0,23,3.044522437723423,3.1780538303479458,0.26185897435897426
0qNpTGTcqPwOLi2hADx4Xw,Charlie's Market,Tampa,FL,28.0103596,-82.4300416,3.0,9,1,1.0,$,,Grocery,1.0,,,,,,3,2.302585092994046,1.3862943611198906,
txyXRytGjwOXvS8s4sc-WA,Smoothie King,Tucson,AZ,32.186794,-110.954765,3.0,29,1,2.0,$$,68.0,Vitamins & Supplements,1.0,1.0,,,,1.0,19,3.4011973816621555,2.995732273553991,0.1
uI9XODGY_2_ieTE6xJ0myw,Roman Forum,Tampa,FL,28.0462028173,-82.5050526736,4.0,23,0,2.0,$$,66.5,American (New),1.0,0.0,1.0,1.0,1.0,1.0,24,3.1780538303479458,3.2188758248682006,0.3129799571343689
JgpnXv_0XhV3SfbfB50nxw,Joe's Pizza,Tampa,FL,27.9605142,-82.506127,4.0,35,0,1.0,$,76.0,Pizza,1.0,1.0,0.0,1.0,0.0,1.0,61,3.58351893845611,4.127134385045092,0.26742018398268397
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,Harvey,LA,29.8754822266,-90.04938,2.5,38,0,2.0,$$,77.0,Soup,1.0,0.0,1.0,1.0,0.0,0.0,37,3.6635616461296463,3.6375861597263857,-0.08332527281746034
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,Indianapolis,IN,39.9062952,-86.0474634,3.5,257,1,2.0,$$,72.0,Sports Bars,1.0,0.0,0.0,1.0,1.0,1.0,440,5.552959584921617,6.089044875446846,0.23393638184440443
L_TT0BFmFwORAMaA83K54A,Village Tap Room,Indianapolis,IN,39.8699114,-86.1435773,2.5,23,0,2.0,$$,,Gastropubs,0.0,0.0,0.0,0.0,0.0,0.0,49,3.1780538303479458,3.912023005428146,-0.24774449035812668
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,West Chester,PA,39.9615417,-75.6036042,3.0,114,0,2.0,$$,,Seafood,1.0,0.0,1.0,1.0,1.0,1.0,251,4.74493212836325,5.529429087511423,0.16132575524985332
lOP3HxdUTaq0eXhwR_KC-w,Sweet Things Chocolates,Indianapolis,IN,39.913292,-86.20083,4.0,13,1,2.0,$$,46.0,Chocolatiers & Shops,1.0,1.0,,,,1.0,40,2.6390573296152584,3.713572066704308,0.21556216931216934
KWA2qtdwVEkMpd5soSKaGA,Publix Super Market,Hudson,FL,28.3326007,-82.6681066,3.5,7,0,2.0,$$,,Grocery,,,,,,1.0,14,2.0794415416798357,2.70805020110221,
gbN4RuUiiBxQ2GBFQ2p3Cw,Mr. Margarita,Fernley,NV,39.5139704538,-119.8472038094,5.0,7,1,1.0,$,,Food Trucks,1.0,0.0,,,,0.0,7,2.0794415416798357,2.0794415416798357,0.5125
8rb-3VYXE37IZix4yOdskw,Sharky's Sports Bar & Grill,Williamstown,NJ,39.6968014,-74.9998214,2.5,29,1,1.0,$,,American (Traditional),1.0,0.0,0.0,0.0,0.0,1.0,41,3.4011973816621555,3.7376696182833684,0.12857142857142856
aCDY7vXYMs54EbYuQScsnQ,39 North Taproom & Grill,Glenolden,PA,39.9036968861,-75.2949812448,4.5,25,1,,,84.0,American (Traditional),1.0,1.0,0.0,,,1.0,10,3.258096538021482,2.3978952727983707,
-4dYswJy7SPcbcERvitmIg,Pathmark,Philadelphia,PA,39.9404026,-75.1932966,2.5,34,0,2.0,$$,133.0,Grocery,,,,,,1.0,183,3.5553480614894135,5.214935757608986,-0.0353685666185666
x9K0RfZaT_zlw6DklBDzjw,Gavi Italian Restaurant,Tucson,AZ,32.221667,-110.925833,3.5,9,0,2.0,$$,,Italian,1.0,0.0,0.0,1.0,1.0,1.0,77,2.302585092994046,4.356708826689592,0.4071428571428571
pJfh3Ct8iL58NZa8ta-a5w,Top Shelf Sports Lounge,Wesley Chapel,FL,28.1962523878,-82.3806153496,4.5,95,1,2.0,$$,84.0,Burgers,1.0,1.0,1.0,0.0,0.0,,111,4.564348191467836,4.718498871295094,0.3716820544007077
7clCBgNbd-x2Wj96lZ6Mjw,Bier Brewery and Tap Room,Indianapolis,IN,39.8755319,-86.0828565,4.5,139,1,2.0,$$,42.0,Beer,1.0,0.0,,0.0,,1.0,800,4.941642422609304,6.68586094706836,0.2636858235155983
ppFCk9aQkM338Rgwpl2F5A,Wawa,Philadelphia,PA,39.954573,-75.1948936,3.0,56,1,1.0,$,,Automotive,1.0,1.0,0.0,1.0,0.0,1.0,391,4.04305126783455,5.971261839790462,0.21625868055555555
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,Burlington,NJ,40.0416285,-74.8258209,3.5,6,0,2.0,$$,,Japanese,1.0,0.0,1.0,1.0,0.0,1.0,18,1.9459101490553132,2.9444389791664403,0.337331081081081
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,Santa Barbara,CA,34.4144445,-119.6906718,4.0,389,1,2.0,$$,36.0,Salad,1.0,,0.0,1.0,1.0,1.0,636,5.966146739123692,6.456769655572163,0.2629113949872878
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,New Orleans,LA,29.9506467229,-90.0744274301,4.5,350,1,2.0,$$,64.0,Pubs,1.0,1.0,1.0,,1.0,1.0,282,5.860786223465865,5.645446897643238,
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,Camden,NJ,39.9466899,-75.123327,4.5,6,1,,,54.0,Juice Bars & Smoothies,,,,,,1.0,6,1.9459101490553132,1.9459101490553132,
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,Nashville,TN,36.1626492,-86.7759733,4.5,593,1,2.0,$$,107.5,Ice Cream & Frozen Yogurt,1.0,,0.0,1.0,,1.0,1539,6.386879319362645,7.3395376954076745,0.285920523529257
